Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
5.62E-06	5.62E-06	4.09E-09	5.00E-01	H1245PCOH(S) + 2 PT(S) <=> H124PCOH(S) + H(S) + 2 PT(B)
5.22E-05	5.22E-05	7.43E-09	5.00E-01	H1245PCOH(S) + 3 PT(S) <=> H125PCOH(S) + H(S) + 3 PT(B)
1.93E-05	1.93E-05	-1.61E-08	5.00E-01	H1245PCOH(S) + 2 PT(S) <=> H145PCOH(S) + H(S) + 2 PT(B)
3.13E-04	3.13E-04	4.30E-09	5.00E-01	H1245PCOH(S) + 3 PT(S) <=> H245PCOH(S) + H(S) + 3 PT(B)
2.94E-06	2.94E-06	-8.69E-09	4.99E-01	H1246PCOH(S) + PT(S) <=> H124PCOH(S) + H(S) + PT(B)
9.03E-06	9.03E-06	-5.05E-10	5.00E-01	H1246PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
1.53E-06	1.53E-06	-4.70E-09	4.99E-01	H1246PCOH(S) + PT(S) <=> H146PCOH(S) + H(S) + PT(B)
5.66E-04	5.66E-04	1.38E-08	5.00E-01	H1246PCOH(S) + 2 PT(S) <=> H246PCOH(S) + H(S) + 2 PT(B)
2.67E-06	2.68E-06	-7.21E-09	4.99E-01	H1256PCOH(S) + 2 PT(S) <=> H125PCOH(S) + H(S) + 2 PT(B)
8.86E-07	8.86E-07	7.02E-10	5.00E-01	H1256PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
9.44E-07	9.45E-07	-1.41E-09	5.00E-01	H1256PCOH(S) + PT(S) <=> H156PCOH(S) + H(S) + PT(B)
3.39E-04	3.39E-04	7.66E-09	5.00E-01	H1256PCOH(S) + PT(S) <=> H256PCOH(S) + H(S) + PT(B)
4.30E-05	4.30E-05	3.96E-08	5.00E-01	H1345PCOH(S) + PT(S) <=> H134PCOH(S) + H(S) + PT(B)
1.19E-05	1.19E-05	6.27E-09	5.00E-01	H1345PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
2.38E-05	2.38E-05	1.63E-08	5.00E-01	H1345PCOH(S) + PT(S) <=> H145PCOH(S) + H(S) + PT(B)
6.28E-05	6.29E-05	-6.32E-08	5.00E-01	H1345PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
7.84E-05	7.84E-05	-3.92E-08	5.00E-01	H1346PCOH(S) + 2 PT(S) <=> H134PCOH(S) + H(S) + 2 PT(B)
1.35E-05	1.35E-05	4.22E-09	5.00E-01	H1346PCOH(S) + 3 PT(S) <=> H136PCOH(S) + H(S) + 3 PT(B)
6.58E-06	6.58E-06	4.65E-09	5.00E-01	H1346PCOH(S) + 2 PT(S) <=> H146PCOH(S) + H(S) + 2 PT(B)
3.68E-04	3.68E-04	2.49E-08	5.00E-01	H1346PCOH(S) + 3 PT(S) <=> H346PCOH(S) + H(S) + 3 PT(B)
