Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
7.61E-05	7.61E-05	4.85E-09	5.00E-01	H2356PCOH(S) + PT(S) <=> H256PCOH(S) + H(S) + PT(B)
8.27E-05	8.28E-05	-1.45E-08	5.00E-01	H2356PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.81E-06	1.82E-06	-1.17E-09	5.00E-01	H2456PCOH(S) + PT(S) <=> H245PCOH(S) + H(S) + PT(B)
1.31E-04	1.31E-04	-3.56E-09	5.00E-01	H2456PCOH(S) + PT(S) <=> H246PCOH(S) + H(S) + PT(B)
3.97E-05	3.97E-05	-4.97E-09	5.00E-01	H2456PCOH(S) <=> H256PCOH(S) + H(S)
2.42E-06	2.42E-06	-9.65E-10	5.00E-01	H2456PCOH(S) + PT(S) <=> H456PCOH(S) + H(S) + PT(B)
1.90E-06	1.90E-06	-2.20E-09	5.00E-01	H3456PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
6.09E-06	6.09E-06	-1.90E-09	5.00E-01	H3456PCOH(S) + 2 PT(S) <=> H346PCOH(S) + H(S) + 2 PT(B)
2.78E-04	2.78E-04	-5.66E-09	5.00E-01	H3456PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.56E-05	1.56E-05	-8.52E-10	5.00E-01	H3456PCOH(S) + 2 PT(S) <=> H456PCOH(S) + H(S) + 2 PT(B)
1.02E-09	1.05E-09	-3.56E-11	4.91E-01	H123PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
4.13E-09	4.13E-09	-7.94E-12	5.00E-01	H123PCOH(S) <=> H13PCOH(S) + H(S)
3.67E-10	3.76E-10	-8.51E-12	4.94E-01	H123PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
1.91E-09	1.98E-09	-6.68E-11	4.91E-01	H124PCOH(S) + 2 PT(S) <=> H12PCOH(S) + H(S) + 2 PT(B)
1.93E-11	2.01E-11	-8.27E-13	4.90E-01	H124PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
1.85E-08	1.99E-08	-1.45E-09	4.81E-01	H124PCOH(S) + PT(S) <=> H24PCOH(S) + H(S) + PT(B)
7.28E-09	7.54E-09	-2.54E-10	4.91E-01	H125PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
3.36E-08	3.37E-08	-5.91E-11	5.00E-01	H125PCOH(S) <=> H15PCOH(S) + H(S)
1.83E-09	1.89E-09	-5.99E-11	4.92E-01	H125PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
2.50E-08	2.59E-08	-8.88E-10	4.91E-01	H126PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
1.78E-07	1.78E-07	-5.47E-11	5.00E-01	H126PCOH(S) <=> H16PCOH(S) + H(S)
6.98E-05	6.98E-05	1.08E-09	5.00E-01	H126PCOH(S) <=> H26PCOH(S) + H(S)
1.49E-08	1.49E-08	-2.45E-11	5.00E-01	H134PCOH(S) + PT(S) <=> H13PCOH(S) + H(S) + PT(B)
3.70E-11	3.85E-11	-1.57E-12	4.90E-01	H134PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
1.62E-07	1.62E-07	-5.14E-11	5.00E-01	H134PCOH(S) + PT(S) <=> H34PCOH(S) + H(S) + PT(B)
3.65E-07	3.65E-07	-5.35E-10	5.00E-01	H135PCOH(S) + PT(S) <=> H13PCOH(S) + H(S) + PT(B)
4.16E-07	4.16E-07	-5.58E-10	5.00E-01	H135PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
2.18E-06	2.18E-06	-3.22E-09	5.00E-01	H135PCOH(S) + PT(S) <=> H35PCOH(S) + H(S) + PT(B)
1.05E-08	1.05E-08	-1.98E-11	5.00E-01	H136PCOH(S) <=> H13PCOH(S) + H(S)
1.85E-08	1.85E-08	5.10E-12	5.00E-01	H136PCOH(S) <=> H16PCOH(S) + H(S)
8.27E-09	8.53E-09	-2.68E-10	4.92E-01	H136PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
2.39E-11	2.49E-11	-1.01E-12	4.90E-01	H145PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
1.09E-08	1.09E-08	-1.58E-11	5.00E-01	H145PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
6.00E-08	6.00E-08	-1.43E-11	5.00E-01	H145PCOH(S) + PT(S) <=> H45PCOH(S) + H(S) + PT(B)
8.94E-12	9.33E-12	-3.83E-13	4.90E-01	H146PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
6.33E-09	6.33E-09	1.36E-12	5.00E-01	H146PCOH(S) + PT(S) <=> H16PCOH(S) + H(S) + PT(B)
3.10E-10	3.34E-10	-2.44E-11	4.81E-01	H146PCOH(S) + 2 PT(S) <=> H46PCOH(S) + H(S) + 2 PT(B)
3.72E-09	3.73E-09	-7.38E-12	5.00E-01	H156PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
