Species_name	Phase	Surf_cov	O	H	C	PT	N
H45PCOH(S)	Surface	2.7695E-08	1	10	7	0	0
H46PCOH(S)	Surface	4.69214E-09	1	10	7	0	0
H56PCOH(S)	Surface	2.19388E-07	1	10	7	0	0
H123PCOH(S)	Surface	7.37676E-05	1	11	7	0	0
H124PCOH(S)	Surface	0.000370548	1	11	7	0	0
H125PCOH(S)	Surface	0.016871924	1	11	7	0	0
H126PCOH(S)	Surface	0.019202647	1	11	7	0	0
H134PCOH(S)	Surface	0.004393533	1	11	7	0	0
H135PCOH(S)	Surface	0.029753883	1	11	7	0	0
H136PCOH(S)	Surface	0.000691365	1	11	7	0	0
H145PCOH(S)	Surface	0.001569669	1	11	7	0	0
H146PCOH(S)	Surface	8.92662E-05	1	11	7	0	0
H156PCOH(S)	Surface	0.000510815	1	11	7	0	0
H234PCOH(S)	Surface	3.59173E-05	1	11	7	0	0
H235PCOH(S)	Surface	0.000321108	1	11	7	0	0
H236PCOH(S)	Surface	0.000220889	1	11	7	0	0
H245PCOH(S)	Surface	0.000310286	1	11	7	0	0
H246PCOH(S)	Surface	0.000798203	1	11	7	0	0
H256PCOH(S)	Surface	0.00542354	1	11	7	0	0
H345PCOH(S)	Surface	0.004300493	1	11	7	0	0
H346PCOH(S)	Surface	0.000144585	1	11	7	0	0
H356PCOH(S)	Surface	0.005843422	1	11	7	0	0
H456PCOH(S)	Surface	0.000771472	1	11	7	0	0
H1234PCOH(S)	Surface	1.54469E-07	1	12	7	0	0
H1235PCOH(S)	Surface	3.71708E-06	1	12	7	0	0
H1236PCOH(S)	Surface	3.29413E-05	1	12	7	0	0
H1245PCOH(S)	Surface	1.33396E-05	1	12	7	0	0
H1246PCOH(S)	Surface	7.59352E-06	1	12	7	0	0
H1256PCOH(S)	Surface	3.81381E-06	1	12	7	0	0
H1345PCOH(S)	Surface	6.31497E-05	1	12	7	0	0
H1346PCOH(S)	Surface	0.000844338	1	12	7	0	0
H1356PCOH(S)	Surface	2.69085E-06	1	12	7	0	0
H1456PCOH(S)	Surface	2.31955E-09	1	12	7	0	0
H2345PCOH(S)	Surface	4.83107E-05	1	12	7	0	0
H2346PCOH(S)	Surface	3.06873E-06	1	12	7	0	0
H2356PCOH(S)	Surface	7.12491E-06	1	12	7	0	0
H2456PCOH(S)	Surface	3.54011E-06	1	12	7	0	0
H3456PCOH(S)	Surface	2.87691E-05	1	12	7	0	0
H12345PCOH(S)	Surface	5.32928E-06	1	13	7	0	0
H12346PCOH(S)	Surface	1.81768E-06	1	13	7	0	0
